epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,2359.82,2.17209,1.15167,2.15431,0.8642,0.55448,0.5492,0.24086,1.94002,1.43305,2.21657,0.000605051,0.000605051,0.000605051
48,2404.23,1.91514,1.20985,2.33353,0.89207,0.53238,0.538,0.24695,1.96258,1.36833,2.24631,0.000594052,0.000594052,0.000594052
49,2448.41,2.08213,1.09647,2.03076,0.89207,0.53238,0.538,0.24695,1.96258,1.36833,2.24631,0.000583053,0.000583053,0.000583053
50,2493.25,1.75601,1.08278,2.11094,0.8709,0.55847,0.56058,0.27755,1.81826,1.32261,2.15671,0.000572054,0.000572054,0.000572054
51,2538.57,1.70201,1.10326,2.17016,0.87434,0.55544,0.56033,0.28647,1.75183,1.2764,2.10258,0.000561055,0.000561055,0.000561055
52,2584.26,1.81006,1.05552,1.96792,0.88133,0.57321,0.56659,0.2703,1.79243,1.19858,2.10996,0.000550056,0.000550056,0.000550056
53,2629.23,2.24069,1.49355,2.68588,0.88133,0.57321,0.56659,0.2703,1.79243,1.19858,2.10996,0.000539057,0.000539057,0.000539057
54,2673.92,1.89261,1.16183,2.20399,0.84581,0.56719,0.5418,0.25982,1.79995,1.11273,2.09808,0.000528058,0.000528058,0.000528058
55,2718.73,1.74787,1.00415,1.97545,0.80522,0.54933,0.52414,0.27665,1.73331,1.01276,2.04851,0.000517059,0.000517059,0.000517059
56,2764.04,1.899,1.10162,2.18251,0.80553,0.56827,0.53662,0.28275,1.71288,0.94521,2.03539,0.00050606,0.00050606,0.00050606
57,2809.21,1.78161,1.07656,1.93873,0.80553,0.56827,0.53662,0.28275,1.71288,0.94521,2.03539,0.000495062,0.000495062,0.000495062
58,2854.15,1.76265,1.04573,1.9723,0.79177,0.53571,0.5288,0.27917,1.73187,0.91866,2.04259,0.000484063,0.000484063,0.000484063
59,2898.98,1.7604,1.25055,2.15524,0.81199,0.56719,0.53523,0.26854,1.78564,0.92821,2.06073,0.000473064,0.000473064,0.000473064
60,2943.81,1.8142,0.94044,1.95228,0.85314,0.56719,0.55271,0.26181,1.81977,0.93245,2.07009,0.000462065,0.000462065,0.000462065
61,2988.77,1.79391,1.03631,2.14331,0.85314,0.56719,0.55271,0.26181,1.81977,0.93245,2.07009,0.000451066,0.000451066,0.000451066
62,3033.42,2.1862,1.77189,2.50256,0.86833,0.58055,0.58394,0.30301,1.70975,0.9286,2.00283,0.000440067,0.000440067,0.000440067
63,3078.45,1.67492,0.92712,1.86727,0.86261,0.5912,0.62841,0.34016,1.6952,0.89822,1.97257,0.000429068,0.000429068,0.000429068
64,3120.22,1.80851,0.95412,1.87219,0.89808,0.58426,0.61782,0.32314,1.69286,0.89437,1.97535,0.000418069,0.000418069,0.000418069
